Number of clicks on similar products;Number of similar products purchased so far;Average rating given to similar products;Gender;Median purchasing price (in rupees);Rating of the product;Brand of the product;Customer review sentiment score (overall);Price of the product;Holiday;Season;Geographical locations;Probability for the product to be recommended to the person
12;4;04.Лют;male;500;04.Тра;PUMA;0.8;200;No;winter;plains;0.9
8;2;03.Сер;female;3000;03.Лют;Lee;-0.4;300;Yes;monsoon;mountains;0.2
25;10;04.Тра;female;600;04.Сер;Head Hunters;0.6;1000;No;spring;plains;0.7
6;1;02.Січ;female;100;02.Тра;Johnson & Johnson;0.1;300;No;summer;coastal;0.1
18;5;04.Лип;male;2000;04.Бер;Wakefit;0.9;700;Yes;winter;plains;0.8
0;0;0;male;1000;0.0;Dabur Chyawanprash;-0.7;1000;No;winter;mountains;0.0
38;15;04.Вер;female;700;04.Вер;Manyavar Mohey;0.95;700;No;summer;plains;1.0
7;3;03.Кві;male;5000;03.Лип;Pepperfry;0.2;900;No;winter;coastal;0.3
4;0;01.Тра;male;900;01.Сер;Lee Cooper;-0.3;400;No;monsoon;mountains;0.05
10;4;03.Вер;female;300;04.Січ;Libram;0.7;200;Yes;spring;plains;0.6
42;18;04.Чер;male;300;04.Лип;Flying Machine;0.85;600;No;summer;plains;0.95
20;8;04.Бер;female;1000;04.Кві;SleepyCat;0.75;1000;Yes;summer;coastal;0.85
5;2;02.Сер;male;8000;3.0;Streax;-0.5;500;Yes;summer;plains;0.1
31;12;04.Сер;female;400;04.Чер;Lakme Ayurveda;0.85;600;No;winter;plains;0.9
2;1;2.0;male;4000;02.Лют;Forest Essentials;-0.2;200;Yes;summer;mountains;0.05
17;7;04.Січ;female;900;04.Лют;Dove Hair;0.8;100;Yes;winter;plains;0.7
14;6;03.Чер;male;200;03.Кві;Pepe Jeans London;0.3;900;No;summer;plains;0.4
9;3;03.Бер;female;2000;03.Тра;The Moms Co.;0.4;800;No;winter;plains;0.5
23;9;4.0;male;6000;04.Лют;Himalaya Liv.52;0.9;600;Yes;winter;mountains;0.9
3;1;01.Лип;male;500;2.0;Wildcraft;-0.1;700;No;monsoon;mountains;0.05
28;11;04.Тра;female;7000;04.Тра;Godrej Interio;0.9;10000;Yes;winter;mountains;1.0
16;6;03.Лип;male;700;03.Сер;Patanjali Ayurved (Health Care);0.6;300;No;monsoon;mountains;0.6
11;5;04.Лют;female;100;04.Бер;Lijoba;0.85;200;Yes;spring;plains;0.8
36;14;04.Лип;male;100;04.Чер;Moov;0.7;900;No;summer;plains;0.85
19;8;04.Кві;female;4000;04.Тра;Kama Ayurveda;0.8;800;No;summer;coastal;0.9
22;9;04.Чер;female;3000;04.Лип;Urban Ladder;0.85;800;No;winter;plains;0.9
13;5;03.Тра;male;800;03.Чер;Allen Solly Woman;0.6;400;Yes;winter;plains;0.7
8;3;02.Вер;female;200;3.0;Lee Cooper;0.1;300;No;summer;mountains;0.05
27;11;04.Кві;male;1000;04.Тра;SleepyCat;0.8;1000;Yes;winter;coastal;0.85
6;2;02.Тра;male;5000;02.Лип;Moov;-0.3;500;No;summer;mountains;0.1
39;16;04.Сер;female;2000;04.Сер;Wildcraft;0.9;800;No;summer;plains;0.95
4;1;01.Сер;female;900;2.0;Johnson & Johnson;-0.2;400;No;monsoon;coastal;0.05
19;7;04.Лют;male;700;04.Бер;PUMA;0.7;200;No;winter;plains;0.8
9;4;03.Січ;female;6000;03.Бер;Pepperfry;0.3;900;Yes;winter;coastal;0.4
32;13;04.Лип;male;100;04.Сер;Manyavar Mohey;0.9;700;No;summer;plains;0.9
14;6;03.Чер;female;500;03.Сер;Max;0.5;300;No;winter;plains;0.6
7;2;02.Бер;male;2000;02.Тра;Wakefit;-0.1;700;Yes;summer;mountains;0.05
18;8;4.0;male;300;04.Лют;Lakme Ayurveda;0.8;100;No;winter;plains;0.9
23;10;04.Тра;female;4000;04.Чер;Streax;0.9;100;Yes;summer;coastal;1.0
11;3;02.Сер;male;600;3.0;Flying Machine;0.2;400;No;monsoon;mountains;0.1
26;11;04.Лют;female;100;04.Кві;Lee;0.8;300;No;winter;plains;0.9
17;7;03.Вер;male;5000;4.0;Head & Shoulders;0.7;900;Yes;winter;plains;0.8
12;5;03.Лют;female;2000;03.Бер;Fastrack;0.4;600;Yes;winter;plains;0.5
5;1;01.Вер;male;900;2.0;Sugar Cosmetics;-0.3;400;No;monsoon;mountains;0.05
31;12;04.Бер;female;7000;04.Тра;Manyavar Mohey;0.9;10000;Yes;winter;mountains;1.0
10;4;3.0;male;300;03.Лют;Kama Ayurveda;0.1;100;No;summer;coastal;0.1
20;9;04.Бер;female;600;04.Тра;Johnson & Johnson;0.7;200;No;winter;plains;0.8
16;6;03.Лип;male;4000;03.Сер;Pepperfry;0.6;800;Yes;summer;mountains;0.8
29;12;04.Чер;female;500;04.Лип;Parachute;0.9;700;No;winter;plains;0.95
24;10;04.Кві;male;200;04.Тра;Lee Cooper;0.8;300;No;summer;mountains;0.9
8;3;03.Лют;female;4000;03.Кві;Wildcraft;0.4;900;Yes;winter;plains;0.5
21;9;04.Січ;male;500;04.Бер;Sugar Cosmetics;0.8;200;No;summer;coastal;0.9
5;2;02.Чер;male;700;02.Сер;Lakme Ayurveda;-0.2;500;No;winter;plains;0.05
17;7;03.Вер;female;3000;4.0;Max;0.7;600;Yes;summer;plains;0.8
11;4;03.Січ;male;200;03.Лют;Lijoba;0.1;100;No;monsoon;plains;0.1
28;13;04.Тра;female;2000;04.Чер;Godrej Interio;0.85;1000;No;winter;plains;0.9
13;5;03.Кві;male;8000;03.Тра;SleepyCat;0.7;900;No;summer;coastal;0.8
9;4;02.Вер;female;4000;3.0;Dettol;-0.2;500;Yes;winter;plains;0.05
36;15;04.Лип;male;300;04.Сер;Moov;0.9;800;No;summer;plains;1.0
7;2;02.Тра;female;1000;02.Лип;The Moms Co.;0.0;200;Yes;summer;coastal;0.1
20;8;04.Бер;male;500;04.Тра;Max;0.8;300;No;winter;plains;0.9
14;6;03.Тра;female;6000;03.Лип;Lakme Ayurveda;0.5;800;Yes;winter;plains;0.6
33;14;04.Сер;male;200;04.Вер;Pepe Jeans London;0.9;700;No;summer;mountains;1.0
6;2;02.Лип;female;100;02.Сер;Wakefit;-0.1;700;Yes;summer;coastal;0.05
19;8;04.Лют;male;3000;04.Бер;Manyavar Mohey;0.8;1000;No;winter;plains;0.9
10;3;02.Сер;female;900;3.0;Johnson & Johnson;0.1;400;No;summer;plains;0.1
25;11;04.Кві;male;8000;04.Тра;Wildcraft;0.85;900;No;summer;mountains;0.9
15;6;03.Чер;female;200;03.Сер;Lee;-0.3;500;Yes;monsoon;plains;0.05
29;12;04.Чер;male;6000;04.Лип;Pepperfry;0.9;800;No;winter;mountains;1.0
22;9;04.Тра;female;400;04.Чер;Head Hunters;0.85;300;No;summer;plains;0.9
12;5;3.0;male;3000;03.Січ;Urban Ladder;0.2;1000;Yes;winter;plains;0.2
16;7;03.Сер;female;800;4.0;Lee;0.7;200;No;winter;plains;0.8
31;14;04.Вер;male;1000;5.0;Manyavar Mohey;0.9;700;No;summer;plains;1.0
4;1;01.Лип;female;6000;01.Сер;Dettol;-0.3;500;Yes;summer;plains;0.05
26;11;04.Бер;male;200;04.Кві;Libram;0.8;300;No;winter;plains;0.9
16;7;03.Вер;female;7000;4.0;Flying Machine;0.7;900;No;winter;plains;0.8
8;3;03.Бер;male;1000;03.Кві;Max;0.3;200;No;summer;coastal;0.3
27;12;04.Лип;female;200;04.Сер;Patanjali Ayurved (Health Care);0.9;700;No;winter;plains;1.0
13;6;03.Чер;male;900;03.Сер;Streax;0.5;400;Yes;winter;plains;0.6
7;2;02.Кві;female;4000;02.Чер;Wildcraft;-0.1;500;No;summer;mountains;0.05
20;9;04.Кві;male;100;04.Тра;Moov;0.85;800;Yes;winter;plains;0.9
32;15;04.Сер;female;6000;04.Вер;Forest Essentials;0.9;900;No;winter;mountains;1.0
11;4;03.Січ;male;300;03.Лют;PUMA;0.1;400;No;summer;plains;0.1
24;11;04.Бер;female;500;04.Тра;Wildcraft;0.8;300;No;summer;plains;0.9
10;3;02.Лип;male;1000;02.Вер;Lee;0.1;100;No;monsoon;plains;0.1
35;16;04.Вер;female;800;5.0;Lee Cooper;0.9;700;No;winter;mountains;1.0
6;2;02.Сер;female;4000;3.0;Manyavar Mohey;0.0;500;Yes;summer;plains;0.1
19;8;04.Бер;male;200;04.Тра;Pepe Jeans London;0.8;900;No;winter;plains;0.9
9;4;3.0;female;6000;03.Січ;Head Hunters;0.2;1000;Yes;winter;plains;0.2
28;13;04.Чер;male;500;04.Лип;SleepyCat;0.9;800;No;summer;coastal;1.0
14;7;03.Лип;female;2000;03.Сер;Johnson & Johnson;0.6;200;No;summer;plains;0.7
23;10;04.Тра;male;900;04.Чер;Wakefit;0.85;300;No;winter;plains;0.9
12;5;03.Лют;female;700;03.Кві;Manyavar Mohey;0.1;400;No;summer;plains;0.1
25;11;04.Кві;male;3000;04.Тра;AmazonBasics;0.8;500;Yes;winter;plains;0.9
15;6;03.Тра;female;400;03.Лип;Lakme Ayurveda;0.5;600;Yes;winter;plains;0.6
30;14;04.Лип;male;1000;04.Сер;Moov;0.9;700;No;summer;plains;1.0
5;2;02.Тра;female;2000;02.Чер;Head & Shoulders;-0.1;500;Yes;winter;plains;0.05
21;9;04.Лют;male;6000;04.Кві;Flying Machine;0.8;900;No;winter;mountains;0.9
17;7;03.Сер;female;500;4.0;Kama Ayurveda;0.7;200;No;summer;coastal;0.8
36;16;04.Сер;male;100;04.Вер;U.S. Polo Assn. Women;0.9;700;No;winter;plains;1.0
